iter	RMSE
0	10.43406494
1	10.3153283
2	10.20659959
3	10.11724657
4	10.03105063
5	9.950573351
6	9.876047409
7	9.818300785
8	9.745101258
9	9.678912101
10	9.621176566
11	9.563616876
12	9.514777226
13	9.472274696
14	9.426866969
15	9.391487877
16	9.361136857
17	9.318048955
18	9.287693104
19	9.258063315
20	9.229044247
21	9.19310312
22	9.167091798
23	9.139708353
24	9.114300769
25	9.096472017
26	9.078581334
27	9.054822488
28	9.041172672
29	9.023393694
30	9.007277118
31	8.991651118
32	8.968002928
33	8.9539542
34	8.938108412
35	8.915275949
36	8.899821034
37	8.88669054
38	8.871035614
39	8.855492608
40	8.839859956
41	8.821104603
42	8.808725991
43	8.796622764
44	8.790152144
45	8.777748261
46	8.770114493
47	8.759103497
48	8.749123039
49	8.729550391
50	8.718666668
51	8.710391049
52	8.70095789
53	8.687840594
54	8.678110608
55	8.666267453
56	8.653968084
57	8.637432305
58	8.62942657
59	8.619850827
60	8.613277289
61	8.603752235
62	8.596242993
63	8.588733403
64	8.581598602
65	8.575854622
66	8.570194755
67	8.560284185
68	8.555736961
69	8.539141675
70	8.525580609
71	8.521131784
72	8.516526678
73	8.506758419
74	8.501059685
75	8.49821413
76	8.493714873
77	8.486729251
78	8.480391165
79	8.473205395
80	8.467068257
81	8.460159323
82	8.451187562
83	8.447442884
84	8.441810275
85	8.437581102
86	8.43418554
87	8.420443802
88	8.413209192
89	8.409107648
90	8.405334867
91	8.397207987
92	8.39479476
93	8.390831654
94	8.380685874
95	8.373146084
96	8.370691989
97	8.367167843
98	8.362879819
99	8.360117413
100	8.354176087
101	8.339577687
102	8.337356115
103	8.328908821
104	8.325021728
105	8.31905249
106	8.313462239
107	8.310828336
108	8.307932212
109	8.303897663
110	8.296824808
111	8.290948404
112	8.287196181
113	8.282133339
114	8.278911437
115	8.273796466
116	8.268307652
117	8.266373484
118	8.261075114
119	8.253614461
120	8.252512429
121	8.249431316
122	8.244726193
123	8.244487293
124	8.241720304
125	8.234376572
126	8.230298576
127	8.226511795
128	8.224752087
129	8.223498793
130	8.219090492
131	8.212813204
132	8.20899619
133	8.206109665
134	8.201570767
135	8.195267626
136	8.193884175
137	8.185063971
