iter	Passed	Remaining
0	134	67181
1	136	33959
2	138	22903
3	140	17442
4	143	14230
5	146	12064
6	149	10536
7	151	9312
8	154	8452
9	157	7741
10	160	7156
11	164	6682
12	166	6255
13	168	5862
14	170	5505
15	173	5248
16	177	5041
17	181	4860
18	183	4656
19	187	4491
20	190	4352
21	194	4220
22	197	4087
23	199	3963
24	203	3858
25	206	3771
26	210	3686
27	211	3568
28	212	3454
29	215	3383
30	218	3312
31	221	3237
32	224	3180
33	227	3123
34	229	3049
35	233	3003
36	237	2966
37	240	2925
38	243	2875
39	244	2816
40	248	2780
41	251	2747
42	255	2715
43	259	2684
44	262	2654
45	266	2625
46	269	2599
47	273	2571
48	274	2522
49	275	2475
50	278	2450
51	282	2429
52	285	2410
53	288	2383
54	289	2344
55	292	2316
56	295	2298
57	299	2280
58	301	2251
59	304	2230
60	306	2207
61	310	2193
62	313	2175
63	317	2160
64	320	2143
65	324	2130
66	327	2119
67	331	2105
68	333	2081
69	336	2068
70	340	2057
71	344	2048
72	348	2036
73	351	2024
74	355	2016
75	359	2004
76	362	1992
77	364	1972
78	367	1960
79	371	1948
80	375	1940
81	378	1930
82	380	1914
83	385	1906
84	388	1896
85	391	1882
86	393	1866
87	394	1848
88	397	1835
89	399	1817
90	401	1802
91	403	1788
92	405	1774
93	408	1762
94	410	1748
95	412	1736
96	415	1724
97	417	1712
98	420	1701
99	422	1690
100	424	1677
101	425	1660
102	426	1644
103	429	1633
104	431	1623
105	433	1612
106	436	1601
107	438	1591
108	441	1582
109	443	1572
110	446	1563
111	448	1553
112	450	1544
113	453	1533
114	454	1522
115	456	1511
116	457	1498
117	459	1486
118	461	1477
119	463	1468
120	466	1459
121	468	1451
122	470	1442
123	471	1430
124	473	1421
125	476	1413
126	478	1406
127	480	1397
128	483	1390
129	485	1381
130	487	1373
131	489	1365
132	492	1357
133	494	1350
134	496	1342
135	498	1334
136	500	1326
137	503	1319
138	505	1312
139	507	1305
140	509	1297
141	511	1290
142	513	1282
143	516	1275
144	518	1268
145	520	1261
146	522	1254
147	524	1248
148	527	1241
149	529	1235
150	531	1228
151	534	1222
152	536	1215
153	538	1210
154	540	1203
155	543	1197
156	545	1191
157	547	1184
158	549	1179
159	552	1173
160	554	1167
161	556	1161
162	558	1155
163	561	1150
164	563	1144
165	565	1138
166	568	1132
167	570	1127
168	572	1122
169	574	1116
170	577	1110
171	579	1106
172	582	1100
173	584	1095
174	587	1090
175	589	1085
176	592	1080
177	594	1075
178	597	1070
179	599	1065
180	601	1060
181	604	1055
182	606	1050
183	608	1045
184	611	1041
185	613	1036
186	615	1030
187	617	1024
188	619	1019
189	621	1014
190	624	1009
191	626	1004
192	628	1000
193	630	995
194	632	989
195	635	985
196	637	980
197	640	976
198	642	971
199	644	966
200	646	961
201	649	957
202	651	952
203	652	946
204	654	942
205	657	937
206	659	933
207	661	928
208	664	924
209	666	920
210	668	916
211	671	911
212	673	907
213	675	903
214	678	899
215	680	895
216	682	889
217	683	884
218	685	879
219	688	875
220	690	871
221	693	867
222	695	863
223	697	859
224	700	855
225	702	851
226	705	848
227	707	843
228	709	840
229	711	835
230	713	831
231	716	827
232	718	823
233	721	819
234	723	816
235	726	812
236	728	808
237	731	804
238	733	801
239	736	797
240	738	794
241	741	790
242	743	786
243	746	783
244	748	779
245	751	775
246	753	771
247	755	767
248	756	762
249	759	759
250	761	755
251	763	751
252	765	747
253	768	744
254	771	740
255	773	737
256	775	733
257	777	729
258	780	726
259	782	722
260	784	718
261	786	714
262	789	711
263	791	707
264	794	704
265	797	701
266	799	697
267	801	693
