hourly_wage,education,gender,hours_cat,experience,depression_score,hh_income,year_born,region,full_time_status,job_role,months_per_year,race,hispanic_latino,country_of_birth,works_public_school,urban_density,college_for_pd,workshop_for_pd,enrolled_in_college,interaction_quality_total,self_rated_health
Not enough information to calculate hourly wage,"Associate degree (AA, AS)",Female,Over 40 hours,>20 to <=25 years,4.0,Don't Know/Refused/No Answer,1975,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,All items correct,Very good
8.65384615385,"Associate degree (AA, AS)",Female,40 hours,>25 years,0.0,"$15,001 to $30,000",1973,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
4.44444444445,GED or high school equivalency,Female,Over 40 hours,>10 to <=15 years,17.0,"$15,001 to $30,000",1976,South,Full-time worker,Aide or assistant teacher,9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,One item correct,Fair
10.0,"Associate degree (AA, AS)",Female,Over 40 hours,>25 years,14.0,"$15,001 to $30,000",1960,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Poor
8.5,Some college credit but no degree,Female,20 hours or less,<=5 years,3.0,"$15,001 to $30,000",1997 and later,South,Part-time worker,"Teacher, instructor, or lead teacher",9,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,No,Yes,Three items correct,Fair
15.0,Some college credit but no degree,Female,36 to 39 hours,<=5 years,3.0,"$15,001 to $30,000",1960,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,All items correct,Excellent
20.83333333334,"Bachelor's degree (BA, BS, AB)",Female,Over 40 hours,>20 to <=25 years,7.0,"$60,001 or more",1965,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,All items correct,Excellent
10.5,High school graduate,Female,40 hours,<=5 years,1.0,"$15,001 to $30,000",1986,South,Full-time worker,Aide or assistant teacher,7,Don't know/Refused/No Answer,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,All items correct,Very good
12.0,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>15 to <=20 years,1.0,"$60,001 or more",1968,Northeast,Full-time worker,Aide or assistant teacher,8,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
Not enough information to calculate hourly wage,High school graduate,Female,40 hours,<=5 years,0.0,Don't Know/Refused/No Answer,1995,Northeast,Full-time worker,Aide or assistant teacher,12,Don't know/Refused/No Answer,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
7.89473684211,Some college credit but no degree,Female,40 hours,>25 years,0.0,"Less than $15,000",1955 to 1959,South,Full-time worker,Aide or assistant teacher,9,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,Rural population,No,Yes,No,All items correct,Very good
3.30882352941,Some college credit but no degree,Female,31 to 35 hours,>10 to <=15 years,1.0,"$60,001 or more",1975,West,Part-time worker,"Teacher, instructor, or lead teacher",11,Asian Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,No,Yes,All items correct,Very good
